组号,组主题,成语,释义,考频
5,书多/资料多,俯拾皆是,只要弯下身子来捡，到处都是。形容地上的某一类东西、要找的某一类例证、文章中的错别字等很多。,9
5,书多/资料多,卷帙浩繁,形容书籍很多或一部书的部头很大。,4
6,数量多,一劳永逸,辛苦一次，把事情办好，以后就不再费事了。,23
6,数量多,轻而易举,形容事情很容易做。,22
6,数量多,信手拈来,随手拿来。多形容写文章时词汇或材料丰富，不费思索，就能写出来。,13
6,数量多,不可胜数,不能数完，形容数量非常多（胜：尽）。,4
6,数量多,多如牛毛,多得像牛身上的毛。形容多得数不清。,4
6,数量多,举不胜举,举也举不完。形容数量很多。,2
6,数量多,车载斗量,形容数量很多，多用来表示不足为奇。,2
6,数量多,恒河沙数,形容数量极多，像恒河里的沙子一样。,1
7,容易/轻松,相辅相成,互相补充，互相配合。,31
7,容易/轻松,相得益彰,指互相帮助，互相补充，更能显出各自的好处。,27
7,容易/轻松,唾手可得,比喻非常容易得到（唾手：往手上吐唾沫）。,12
7,容易/轻松,游刃有余,比喻做事熟练，轻而易举。,12
7,容易/轻松,珠联璧合,珍珠串在一起，美玉合在一块儿，比喻美好的人或事物凑在一起。,11
7,容易/轻松,举重若轻,比喻做繁难的事或处理棘手的问题轻松而不费力。,10
7,容易/轻松,驾轻就熟,驾轻车，就熟路，比喻对事情熟习，做起来容易。,7
7,容易/轻松,易如反掌,比喻事情极容易办成，不必费很大力气。,4
8,互补/结合/融合,大相径庭,表示彼此相差很远或矛盾很大。,29
8,互补/结合/融合,交相辉映,（各种光亮、彩色等）相互映照。,13
8,互补/结合/融合,相去甚远,互相之间存在很大差异和距离。,13
8,互补/结合/融合,截然不同,形容两件事物毫无共同之处。,11
8,互补/结合/融合,水乳交融,水和乳汁融合在一起，比喻关系非常融洽或结合十分紧密。,10
8,互补/结合/融合,相映成趣,互相衬托、映照而显得很有趣。,8
8,互补/结合/融合,浑然一体,融合成一个整体，不可分割。,7
8,互补/结合/融合,迥然不同,形容差别很大。,7
9,差别/不同,南辕北辙,心里想往南去，却驾车往北走。比喻行动和目的相反。,28
9,差别/不同,背道而驰,朝着相反的方向走，比喻方向、目标完全相反。,23
9,差别/不同,泾渭分明,泾河水清，渭河水浑，比喻界限清楚。,11
9,差别/不同,千差万别,指事物有各种各样的差别或差别很大。,7
9,差别/不同,分道扬镳,指分道而行，比喻因目标不同而各奔各的前程或各干各的事情。,7
9,差别/不同,天差地别,形容差别很大，相差甚远。,6
9,差别/不同,判若云泥,高低差别就像天上的云彩和地下的泥土那样远。形容高低悬殊。,2
10,相反/对立,如出一辙,形容两件事情非常相像。,16
10,相反/对立,不谋而合,没有事先商量而彼此见解或行动完全一致。,15
10,相反/对立,适得其反,结果跟希望正好相反。,14
10,相反/对立,不约而同,没有事先商量而彼此见解或行动一致。,11
10,相反/对立,针锋相对,针尖对针尖，比喻双方策略、论点等尖锐地对立。,10
10,相反/对立,事与愿违,事情的发展跟主观愿望相反。,10
11,相同/一致,各有千秋,各有各的存在的价值；各有所长；各有特色。,14
11,相同/一致,殊途同归,通过不同的道路走到同一个目的地，比喻采取不同的方法而得到相同的结果。,13
11,相同/一致,大同小异,大部分相同，只有小部分不同。,11
11,相同/一致,异曲同工,不同的曲调演得同样好，比喻不同的人的辞章或言论同样精彩，或者不同的做法收到同样好的效果。,9
11,相同/一致,平分秋色,比喻双方各占一半。,7
11,相同/一致,毫无二致,丝毫没有两样；完全一样。,3
12,彼此相当,日新月异,每天每月都有新的变化，形容进步、发展很快。,24
12,彼此相当,分庭抗礼,指双方平起平坐，实力相当，可以抗衡。,5
12,彼此相当,势均力敌,双方势力相等，不分高低。,3
12,彼此相当,旗鼓相当,比喻双方力量不相上下。,3
13,发展快/好,未雨绸缪,趁着天没下雨，先修缮房屋门窗，比喻事先做好准备。,27
13,发展快/好,与时俱进,随着时代的发展而不断发展、前进。,17
13,发展快/好,突飞猛进,形容事业、学问等进展非常迅速。,13
13,发展快/好,一日千里,形容进展极快。,13
13,发展快/好,欣欣向荣,形容草木茂盛，也形容事业蓬勃发展。,12
13,发展快/好,居安思危,处在安定的环境而想到可能会出现的危难。,11
13,发展快/好,蒸蒸日上,形容事业天天向上发展，十分兴旺。,9
13,发展快/好,生机勃勃,形容自然界充满生命力，或社会生活活跃。,8
13,发展快/好,曲突徙薪,比喻事先采取措施，防止危险发生。,1
14,提前准备/事先防范,推陈出新,去掉旧事物的糟粕，取其精华，并使它向新的方向发展。,28
14,提前准备/事先防范,胸有成竹,比喻做事之前已经有通盘的考虑。,10
14,提前准备/事先防范,防微杜渐,在错误或坏事萌芽的时候及时制止，不让它发展。,9
14,提前准备/事先防范,防患未然,在事故或灾害尚未发生之前采取预防措施。,8
14,提前准备/事先防范,有备无患,事先有准备就可以避免祸患。,8
14,提前准备/事先防范,常备不懈,时常准备着，从不松懈。,3
15,新/旧,独树一帜,单独树立起一面旗帜，指自成一家。,27
15,新/旧,标新立异,提出新奇的主张，表示与一般不同。,21
15,新/旧,革故鼎新,去掉旧的，建立新的。多指改朝换代或重大变革。,13
15,新/旧,另辟蹊径,另外开辟一条路。比喻另创一种风格或方法。,13
15,新/旧,与众不同,跟大家不一样。,12
15,新/旧,别具一格,另有一种风格。,12
15,新/旧,独辟蹊径,自己开辟一条路，比喻独创一种新风格或者新方法。,10
15,新/旧,剑走偏锋,为出奇制胜，不采用正面攻防为主的常规剑法，而采用闪避游斗等非常规的剑法。比喻不按常规、常理思维或行动。,6
15,新/旧,吐故纳新,比喻扬弃旧的、不好的，吸收新的、好的。,5
15,新/旧,弃旧图新,抛弃旧的，谋求新的，多指由坏的转向好的，由邪路走上正路,3
16,创新/独特,举足轻重,所处地位重要，一举一动都关系到全局。,27
16,创新/独特,不可或缺,不能有一点点缺失（或：稍微；略微）。,22
16,创新/独特,别出心裁,独创一格，与众不同。,8
16,创新/独特,独具匠心,指具有与众不同的巧妙的构思。,8
16,创新/独特,匠心独运,在文学、艺术等方面独创性地运用巧妙的心思。,8
16,创新/独特,焕然一新,形容出现了崭新的面貌。,8
16,创新/独特,独具一格,拥有与众不同的风格。,4
16,创新/独特,自成一体,在某种学术、艺术或技术上有独创的见解或独特的做法；形成自己的体系和风格。,4
16,创新/独特,别具匠心,另有一种巧妙的心思（多指文学、艺术方面创造性的构思）。,3
17,重要/不可缺少,无足轻重,无关紧要。也说无足重轻。,12
17,重要/不可缺少,至关重要,相当地重要，要紧关头是不可缺少。,11
17,重要/不可缺少,不可替代,指的是某人或某事不能被其他人或其他事物取代。,11
17,重要/不可缺少,微不足道,非常藐小，不值得一提。,10
17,重要/不可缺少,必不可少,绝对需要的或者不达到某种目的就不能做成某种事情。,9
17,重要/不可缺少,微乎其微,形容非常少或非常小。,8
18,不重要,司空见惯,表示看惯了就不觉得奇怪。,26
18,不重要,屡见不鲜,经常看见，并不新奇。,18
18,不重要,细枝末节,比喻事情或问题的细小而无关紧要的部分。,6
18,不重要,平淡无奇,平平常常，没有什么突出的、出色的地方。,6
18,不重要,不值一提,形容事情很轻微或者不重要,4
19,常见/普遍,理所当然,从道理上说应当这样。,25
19,常见/普遍,水到渠成,水流到的地方自然成渠，比喻条件成熟，事情自然成功。,25
19,常见/普遍,比比皆是,到处都是；处处都是,19
19,常见/普遍,习以为常,常做某事情或常见某种现象，成了习惯，就觉得很平常了。,15
19,常见/普遍,无孔不入,是空隙就钻进去，比喻不放过任何一个机会（多指做坏事）。,9
19,常见/普遍,铺天盖地,形容声势大，来势猛，到处都是。,9
19,常见/普遍,无所不在,到处都存在；到处都有。,5
20,应该的/自然的,历久弥新,指经历长久的时间而更加鲜活，更加有活力，更显价值。,25
20,应该的/自然的,顺理成章,形容写文章或做事，顺着条理就能做好；也比喻某种情况合乎情理，自然产生某种结果。,14
20,应该的/自然的,经久不衰,形容某事或某人经历很长时间仍旧保持较高的旺盛状态,12
20,应该的/自然的,自然而然,不经外力作用而如此。,11
20,应该的/自然的,天经地义,指非常正确、不容置疑的道理。,9
20,应该的/自然的,听之任之,意思是任凭事物存在发展而不去过问。,5
20,应该的/自然的,长盛不衰,长久兴盛而不衰败，比喻长时间保持旺盛的势头。,5
21,坚持/有恒心,一成不变,一经形成，永不改变。,25
21,坚持/有恒心,源远流长,①源头很远，流程很长。②比喻历史悠久。,23
21,坚持/有恒心,根深蒂固,比喻基础稳固，不容易动摇。也说根深柢固。,22
21,坚持/有恒心,持之以恒,长久地坚持下去。,20
21,坚持/有恒心,矢志不渝,意思是立志不会改变，表示永远不变心。,13
21,坚持/有恒心,一如既往,完全跟过去一样。,12
21,坚持/有恒心,锲而不舍,雕刻一件东西，一直刻下去不放手，比喻有恒心，有毅力。,12
21,坚持/有恒心,厚积薄发,多多积蓄，慢慢放出。形容只有准备充分才能办好事情。,11
21,坚持/有恒心,亘古不变,从古到今，没有变化。,10
21,坚持/有恒心,坚持不懈,坚持到底，一点不松懈。,9
21,坚持/有恒心,坚定不移,稳定坚强，毫不动摇；不放弃，不改变自己的想法。,9
21,坚持/有恒心,久久为功,持续的、不懈的努力和耐心，以及在长期坚持中取得的成效。,5
21,坚持/有恒心,坚韧不拔,形容信念坚定，意志顽强，不可动摇。,3
21,坚持/有恒心,百折不挠,无论受多少挫折都不退缩，形容意志坚强。也说百折不回。,3
22,积累/积蓄力量,殚精竭虑,用尽精力，费尽心思。,10
22,积累/积蓄力量,日积月累,长时间地积累。,7
22,积累/积蓄力量,苦心孤诣,费尽心思钻研或经营，达到别人达不到的境地（孤诣：独自达到的境地）。,6
22,积累/积蓄力量,废寝忘食,顾不得睡觉，忘记吃饭，形容非常专心努力。,6
22,积累/积蓄力量,韬光养晦,比喻隐藏才能，不使外露。,3
22,积累/积蓄力量,卧薪尝胆,形容人刻苦自励，立志雪耻图强。,3
22,积累/积蓄力量,呕心沥血,形容费尽心思。,3
23,勤奋/用尽心力,不遗余力,用出全部力量，一点儿也不保留。,10
23,勤奋/用尽心力,筚路蓝缕,驾着柴车，穿着破旧的衣服去开辟山林（筚路：柴车；蓝缕：破衣服）。形容创业的艰苦。,10
23,勤奋/用尽心力,全力以赴,指把全部精力都投入进去。,6
23,勤奋/用尽心力,绞尽脑汁,形容苦思积虑，费尽脑筋，想尽办法。,6
23,勤奋/用尽心力,尽心尽力,用尽全部心思和力气。形容做事非常努力认真。,4
23,勤奋/用尽心力,夜以继日,日夜不停。,3
23,勤奋/用尽心力,宵衣旰食,天不亮就穿衣起来，天黑了才吃饭，形容勤于政务。,1
24,辛劳/不知疲倦,潜移默化,指人的思想或性格受其他方面的感染而不知不觉地起了变化。,20
24,辛劳/不知疲倦,耳濡目染,形容见得多听得多了之后，无形之中受到影响。,13
24,辛劳/不知疲倦,孜孜以求,不知疲倦地探求。,9
24,辛劳/不知疲倦,孜孜不倦,指工作或学习勤奋刻苦不知疲倦，形容勤勉不懈怠的一种状态。,7
24,辛劳/不知疲倦,乐此不疲,因喜欢做某件事而不知疲倦。形容对某事特别爱好而沉浸其中。,7
24,辛劳/不知疲倦,手不释卷,手里的书舍不得放下，形容读书勤奋或看书入迷。,4
24,辛劳/不知疲倦,栉风沐雨,风梳头，雨洗发，形容奔波劳碌，不避风雨。,3
25,产生影响,有的放矢,对准靶子射箭，比喻言论、行动目标明确。,26
25,产生影响,因地制宜,根据不同地区的具体情况规定适宜的办法。,17
25,产生影响,润物无声,指有大胸怀者，做了贡献而不张扬，默默奉献。,9
25,产生影响,对症下药,比喻针对具体情况决定解决问题的办法。,8
25,产生影响,春风化雨,适宜于草木生长的风雨，比喻良好的教育。,6
25,产生影响,量体裁衣,按照身材剪裁衣裳，比喻根据实际情况办事。,4
26,有针对性/根据实际情况,因势利导,顺着事情的发展趋势加以引导。,16
26,有针对性/根据实际情况,舍本逐末,舍弃事物的根本的、主要的部分，而去追求细枝末节，形容轻重倒置。,15
26,有针对性/根据实际情况,本末倒置,比喻把主要事物和次要事物或事物的主要方面和次要方面弄颠倒了。,12
26,有针对性/根据实际情况,实事求是,从实际情况出发，不夸大，不缩小，正确地对待和处理问题。,8
26,有针对性/根据实际情况,顺势而为,做事要顺应潮流，不要逆势而行。,5
26,有针对性/根据实际情况,因时制宜,指根据不同时期的具体情况，采取适当的措施。,4
26,有针对性/根据实际情况,顺水推舟,比喻顺应趋势办事。,4
26,有针对性/根据实际情况,随机应变,跟着情况的变化，掌握时机，灵活应付。,4
26,有针对性/根据实际情况,正本清源,从根源上进行改革。,4
27,本末/根本,缘木求鱼,比喻方向、方法不对，一定达不到目的。,20
27,本末/根本,饮鸩止渴,用毒酒解渴，比喻只求解决目前困难而不顾严重后果。,11
27,本末/根本,釜底抽薪,抽去锅底下的柴火，比喻从根本上解决。,8
27,本末/根本,扬汤止沸,办法不对头，不能从根本上解决问题。,7
27,本末/根本,标本兼治,对事物的枝节和根本都加以治理。,4
27,本末/根本,抱薪救火,比喻因为方法不对，虽然有心消灭祸患，结果反而使祸患扩大。,3
27,本末/根本,剜肉补疮,比喻只顾眼前，用有害的方法来救急（疮：伤口）。,1
28,短视/方法不当,立竿见影,比喻立见功效。,18
28,短视/方法不当,急功近利,急于求目前的成效和利益。,16
28,短视/方法不当,竭泽而渔,排尽湖中或池中的水捉鱼，比喻取之不留余地，只顾眼前利益，不顾长远利益。,11
28,短视/方法不当,行之有效,实行起来有成效；指某种方法或措施已经实行过，证明很有效用。,10
28,短视/方法不当,杀鸡取卵,比喻只图眼前的好处而损害长远的利益。,9
28,短视/方法不当,揠苗助长,用来比喻违反事物的发展规律，急于求成，反而坏事。,8
28,短视/方法不当,寅吃卯粮,寅年就吃了卯年的口粮。比喻入不敷出，预先支用了以后的收入。,6
28,短视/方法不当,急于求成,急切地想取得成功或达到目的。,4
29,结果/成效,得不偿失,得到的抵不上失去的。,12
29,结果/成效,事半功倍,形容花费的气力小，收到的成效大。,9
29,结果/成效,徒劳无功,白费力气，没有成就或好处。也说徒劳无益。,7
29,结果/成效,事倍功半,形容花费的气力大，收到的成效小。,6
29,结果/成效,前功尽弃,以前的成绩全部废弃，指以前的努力完全白费。,3
30,得失/功劳,因噎废食,因为吃饭噎住了，索性连饭也不吃了，比喻因为怕出问题，索性不干。,14
30,得失/功劳,功亏一篑,比喻一件大事只差最后一点儿人力物力而不能成功。,7
30,得失/功劳,因小失大,为了小的利益而造成大的损失。,7
30,得失/功劳,半途而废,做事情没有完成而终止。,5
31,做事过头,顾此失彼,顾了这个，顾不了那个。,19
31,做事过头,矫枉过正,纠正偏差做得过了头。,10
31,做事过头,于事无补,指某种言行对解决事情没有什么帮助。,9
31,做事过头,过犹不及,事情办得过火，就跟做得不够一样，都是不好的。,6
31,做事过头,无济于事,对于事情没有什么帮助；对于解决问题没有什么作用。,6
32,多余/无益,捉襟见肘,拉一下衣襟就露出胳膊肘儿，形容衣服破烂，也比喻困难重重，应付不过来。,18
32,多余/无益,休戚与共,彼此共同承受幸福与灾祸。,17
32,多余/无益,力不从心,心里想做，可是能力或力量够不上。,13
32,多余/无益,息息相关,呼吸相关连，形容关系密切。也说息息相通。,13
32,多余/无益,鞭长莫及,原来是说虽然鞭子长，但是不应该打到马肚子上，后来借指力量达不到。,9
32,多余/无益,左支右绌,指力量不足，应付了这一方面，那一方面又有了问题。,8
32,多余/无益,休戚相关,彼此间祸福互相关联。,8
32,多余/无益,爱莫能助,心里愿意帮助，但是力量做不到。,5
32,多余/无益,无能为力,用不上力量；没有能力或能力达不到。,5
32,多余/无益,不堪重负,承受不了繁重的负荷，不能担当重任，指在经济上或别的方面无法承受。,5
33,关系密切/关联,浮光掠影,像水面的光和掠过的影子一样，一晃就消逝，形容印象不深刻。,20
33,关系密切/关联,走马观花,比喻粗略地观察事物。也说走马看花。,20
33,关系密切/关联,如影随形,好像影子老是跟着身体一样，比喻两个人常在一起，十分亲密。,12
33,关系密切/关联,唇齿相依,像嘴唇和牙齿一样互相依存，形容关系密切。,10
33,关系密切/关联,互为表里,意思是甲为乙的外表，乙为甲的内里；比喻互相依存，互相接受。,9
33,关系密切/关联,环环相扣,①一环扣一环。比喻若干事物之间密切相关。②形容运作步骤安排紧凑而有序。,8
33,关系密切/关联,密不可分,形容十分紧密，不可分割。,7
34,肤浅/不深入,浅尝辄止,略微尝试一下就停下来，指对知识、问题等不作深入研究。,15
34,肤浅/不深入,蜻蜓点水,比喻做事肤浅不深入。,12
34,肤浅/不深入,囫囵吞枣,把枣儿整个儿吞下去，比喻读书等不加分析地笼统接受。,11
34,肤浅/不深入,敷衍了事,随便应付一下，就算把事情办完。,11
34,肤浅/不深入,一目了然,一眼就能看清楚。,10
34,肤浅/不深入,见微知著,见到一点苗头就能知道它的发展趋向或问题的实质。,10
34,肤浅/不深入,不求甚解,指只求懂得个大概，不求深刻了解。,6
35,看得清楚,有目共睹,凡是有眼睛的人都能看见，形容事实极其明显。,23
35,看得清楚,显而易见,（事情、道理）非常明显，很容易看清楚。,19
35,看得清楚,明察秋毫,形容为人非常精明，任何小问题都看得很清楚。,9
35,看得清楚,洞若观火,形容看得清楚明白。,7
35,看得清楚,了如指掌,形容对情况非常清楚，好像指着自己的手掌给人看。,6
35,看得清楚,一览无余,一眼全都看见。形容视野开阔或事物简单明了，一下就能全都看到。,5
36,明显/清楚/明白,毋庸置疑,事实明显或理由充分，根本就没有怀疑的余地。,24
36,明显/清楚/明白,不言而喻,不用说就可以明白。,23
36,明显/清楚/明白,栩栩如生,形容艺术形象生动逼真，像活的一样。,19
36,明显/清楚/明白,惟妙惟肖,形容描写或模仿得非常好，非常逼真。,17
36,明显/清楚/明白,不言自明,不用说话就能明白。,7
36,明显/清楚/明白,跃然纸上,形容描写或刻画得十分生动逼真。,6
36,明显/清楚/明白,不容置疑,不容许有什么怀疑，指真实可信。,5
36,明显/清楚/明白,昭然若揭,指真相大白。,5
37,生动/逼真,固步自封,比喻安于现状，不求进步。,22
37,生动/逼真,呼之欲出,形容人像等画得逼真，似乎叫一声就会从画里出来，泛指文学作品中人物的描写十分生动。,6
37,生动/逼真,绘声绘色,形容叙述、描写生动逼真。也说绘影绘声、绘声绘影。,5
38,守规矩/不变通,人云亦云,人家说什么自己也跟着说什么，形容没有主见。,20
38,守规矩/不变通,循规蹈矩,原指遵守规矩。现多指拘泥于旧的准则，不敢稍做变通。,15
38,守规矩/不变通,因循守旧,不求变革，沿袭老的一套。,13
38,守规矩/不变通,抱残守缺,形容保守不知改进。,9
38,守规矩/不变通,拾人牙慧,拾取人家的只言片语当做自己的话。,7
38,守规矩/不变通,只言片语,个别的词句；片段的话语。也说片言只语。,6
39,没主见/跟风,脱颖而出,比喻人的才能全部显示出来。,23
39,没主见/跟风,崭露头角,比喻突出地显露出才能和本领（多指青少年）。,17
39,没主见/跟风,随波逐流,随着波浪起伏，跟着流水漂荡，比喻自己没有主见，随着潮流走。,15
39,没主见/跟风,亦步亦趋,比喻自己没有主张，或为了讨好，每件事都效仿或依从别人，跟着人家行事。,11
39,没主见/跟风,出类拔萃,形容超出同类。也说出类拔群、出群拔萃。,8
39,没主见/跟风,邯郸学步,比喻模仿别人不成，反而丧失了原有的技能。,4
39,没主见/跟风,照猫画虎,比喻照着样子模仿。,4
39,没主见/跟风,出人头地,超出一般人；高人一等。,4
40,优秀/突出,一枝独秀,形容在同类事物中最为突出，最为优秀。,13
40,优秀/突出,一马当先,作战时策马冲锋在前，形容领先或带头。,13
40,优秀/突出,一鸣惊人,比喻平时没有特殊的表现，一干就有惊人的成绩。,11
40,优秀/突出,横空出世,形容人或物高大，横在空中，浮出人世，或比喻卓尔不群。,7
40,优秀/突出,独当一面,单独担当一个方面的任务。,7
40,优秀/突出,遥遥领先,远远地走在最前面。,7
40,优秀/突出,鹤立鸡群,比喻一个人的才能或仪表在一群人里头显得很突出。,3
41,领先/超过,无与伦比,没有能比得上的（多含褒义）。,22
41,领先/超过,独占鳌头,借指居首位或第一名。,11
41,领先/超过,后来居上,后起的超过先前的。,11
41,领先/超过,独领风骚,形容超群出众，没有谁可与之相比。,5
41,领先/超过,首屈一指,弯下手指头计数，首先弯下大拇指，表示第一。,3
42,没有比得上,独一无二,没有相同的；没有可以相比的。,19
42,没有比得上,叹为观止,赞美看到的事物好到极点。,17
42,没有比得上,妙趣横生,洋溢着美妙意趣（多指语言、文章或美术品）。,12
42,没有比得上,前所未有,历史上从来没有过。,11
42,没有比得上,引人入胜,引人进入佳境（指风景或作品等）。,11
42,没有比得上,无可比拟,意思是没有可以相比的。,6
43,生动/有趣/吸引人,凤毛麟角,比喻稀少而可贵的人或事物。,18
43,生动/有趣/吸引人,喜闻乐见,喜欢听，乐意看。,15
43,生动/有趣/吸引人,脍炙人口,美味人人都爱吃，比喻好的诗文或事物，人们都称赞。,12
43,生动/有趣/吸引人,津津乐道,很有兴趣地说个不停。,11
43,生动/有趣/吸引人,寥寥无几,寥寥：非常少。无几：没有几个。形容数量很少，没有几个。,11
43,生动/有趣/吸引人,屈指可数,意思是扳着手指就可以数清楚，形容数量稀少。,10
43,生动/有趣/吸引人,拍案叫绝,拍桌子叫好。形容非常赞赏。,6
44,稀少/珍贵,不可多得,得：得到，获得。形容非常稀少，很难得到。,9
44,稀少/珍贵,难能可贵,难做的事居然能做到，值得珍视。,9
44,稀少/珍贵,弥足珍贵,更加值得珍爱，重视。,4
44,稀少/珍贵,绝无仅有,极其少有。,3
45,好坏都有/混杂,良莠不齐,指好人坏人都有（莠：狗尾草，比喻品质坏的人）。,16
45,好坏都有/混杂,鱼龙混杂,比喻坏人和好人混在一起。,15
45,好坏都有/混杂,包罗万象,内容丰富，应有尽有。,15
45,好坏都有/混杂,五花八门,形容花样繁多或变幻多端。,14
45,好坏都有/混杂,泥沙俱下,泥土和沙子都跟着流下来，比喻好坏不同的人或事物混杂在一起。,12
45,好坏都有/混杂,林林总总,形容繁多。,9
45,好坏都有/混杂,滥竽充数,比喻没有真正的才干，而混在行家里面充数，或拿不好的东西混在好的里面充数。,8
45,好坏都有/混杂,粗制滥造,指制作粗劣，不讲究质量。也指工作不负责任，草率从事。,7
45,好坏都有/混杂,形形色色,各种各样。,7
45,好坏都有/混杂,参差不齐,形容很不整齐或水平不一。,5
46,丰富/多种多样,千姿百态,形容姿态多种多样，各不相同。,13
46,丰富/多种多样,扑朔迷离,比喻事物错综复杂，难于辨别。,13
46,丰富/多种多样,错综复杂,形容头绪繁多，情况复杂。,11
46,丰富/多种多样,丰富多彩,内容丰富，种类多样。,9
46,丰富/多种多样,千奇百怪,形容事物奇异而多样。,9
46,丰富/多种多样,应有尽有,应该有的全都有了，表示一切齐备。,5
46,丰富/多种多样,蔚为大观,丰富多彩，成为盛大的景象（多指文物等）。,5
46,丰富/多种多样,一应俱全,应该具备的都有了。,4
46,丰富/多种多样,气象万千,形容景色和事物多种多样，非常壮观。,3
47,复杂,举步维艰,迈步艰难，比喻办事情每向前进行一步都十分不容易。,12
47,复杂,进退维谷,进退都不好，形容处境困难。,12
47,复杂,纷繁复杂,纷繁：多而复杂。复杂：（事物的种类、头绪等）多而杂（跟“简单”相对）。,8
47,复杂,千头万绪,形容事情头绪繁多，纷乱复杂。,7
47,复杂,杂乱无章,又多又乱，没有条理。,5
47,复杂,寸步难行,①形容走路、行动困难。②比喻开展某项工作困难重重。,5
47,复杂,步履维艰,①行走十分困难，行动不方便。②比喻创业经营艰辛。,4
47,复杂,盘根错节,树根盘绕，枝节交错。形容事情或关系等相互交织，纷繁复杂。,3
48,困难/艰难,披荆斩棘,比喻扫除前进中的困难和障碍。,10
48,困难/艰难,迎刃而解,用刀劈竹子，劈开了口儿，下面的一段就迎着刀口自己裂开。比喻主要的问题解决了，其他有关的问题就可以很容易地得到解决。,9
48,困难/艰难,迎难而上,就算遇到困难也不退缩，迎着困难去克服它。,8
48,困难/艰难,知难而退,指见困难退缩不前，没有勇气去克服。,4
48,困难/艰难,雪中送炭,比喻在别人急需的时候给以帮助。,4
48,困难/艰难,骑虎难下,比喻事情中途遇到困难，为形势所迫，又难以中止。,2
49,提供帮助/扫清障碍,迫在眉睫,比喻事情临近眼前，十分紧迫。,18
49,提供帮助/扫清障碍,刻不容缓,片刻也不能拖延，形容形势紧迫。,12
49,提供帮助/扫清障碍,当务之急,当前急切应办的事。,9
49,提供帮助/扫清障碍,锦上添花,比喻使美好的事物更加美好。,8
49,提供帮助/扫清障碍,添砖加瓦,比喻为宏伟的事业做一点小小的贡献。,6
49,提供帮助/扫清障碍,保驾护航,保护某事物能让其能正常发展。,6
50,紧急/危险/紧迫,难以为继,难以继续下去。,14
50,紧急/危险/紧迫,危在旦夕,指危险就在眼前。,8
50,紧急/危险/紧迫,岌岌可危,形容十分危险，快要倾覆或灭亡。,6
50,紧急/危险/紧迫,后继无人,没有继承的人。形容事业缺少接班人。,6
50,紧急/危险/紧迫,奄奄一息,形容气息微弱临近死亡。也比喻事物即将消亡、湮没或毁灭。,4
